Rank,Player,Apps,Span[a],Teams[b],Apps,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Boa,45,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Fortaleza,44,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Internacional de Lages,26,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Joinville,30,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Oeste,13,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Ypiranga,4,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Portuguesa,26,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Treze,54,,,,,,,,,,,,,,,,,
,Marcelinho Para°ba,,,Perilima,24,,,,,,,,,,,,,,,,,
17,Robbie James,"1,095+",1973?1998,Swansea City,593,,,,,,,,,,,,,,,,,
,Robbie James,,,Stoke City,56,,,,,,,,,,,,,,,,,
,Robbie James,,,Queens Park Rangers,101,,,,,,,,,,,,,,,,,
,Robbie James,,,Leicester City,29,,,,,,,,,,,,,,,,,
,Robbie James,,,Bradford City,108,,,,,,,,,,,,,,,,,
,Robbie James,,,Cardiff City,68,,,,,,,,,,,,,,,,,
,Robbie James,,,Merthyr Tydfil,16+,,,,,,,,,,,,,,,,,
,Robbie James,,,Barry Town,38,,,,,,,,,,,,,,,,,
,Robbie James,,,Inter Cardiff,?,,,,,,,,,,,,,,,,,
,Robbie James,,,Llanelli,36+,,,,,,,,,,,,,,,,,
,Robbie James,,,Weston-super-Mare,?,,,,,,,,,,,,,,,,,
18,Tony Ford,"1,083+",1975?2001,Grimsby Town,491,,,,,,,,,,,,,,,,,
,Tony Ford,,,Sunderland,9,,,,,,,,,,,,,,,,,
,Tony Ford,,,Stoke City,135,,,,,,,,,,,,,,,,,
,Tony Ford,,,West Bromwich Albion,128,,,,,,,,,,,,,,,,,
,Tony Ford,,,Bradford City,7,,,,,,,,,,,,,,,,,
,Tony Ford,,,Scunthorpe United,91,,,,,,,,,,,,,,,,,
,Tony Ford,,,Barrow,?,,,,,,,,,,,,,,,,,
,Tony Ford,,,Mansfield Town,116,,,,,,,,,,,,,,,,,
,Tony Ford,,,Rochdale,104,,,,,,,,,,,,,,,,,
,Ra£l,,,Real Madrid,741,,,,,,,,,,,,,,,,,
,Ra£l,,,Schalke 04,98,,,,,,,,,,,,,,,,,
,Ra£l,,,Al Sadd,61,,,,,,,,,,,,,,,,,
,Ra£l,,,New York Cosmos,32,,,,,,,,,,,,,,,,,
20,ZÇ Roberto,"1,067",1994?2017,Portuguesa,132,,,,,,,,,,,,,,,,,
,ZÇ Roberto,,,Real Madrid,24,,,,,,,,,,,,,,,,,
,ZÇ Roberto,,,Flamengo,23,,,,,,,,,,,,,,,,,
,ZÇ Roberto,,,Bayer Leverkusen,150,,,,,,,,,,,,,,,,,
,ZÇ Roberto,,,Bayern Munich,248,,,,,,,,,,,,,,,,,
,ZÇ Roberto,,,Santos,61,,,,,,,,,,,,,,,,,
,ZÇ Roberto,,,Hamburger SV,72,,,,,,,,,,,,,,,,,
,ZÇ Roberto,,,Al-Gharafa,26,,,,,,,,,,,,,,,,,
,ZÇ Roberto,,,Gràmio,119,,,,,,,,,,,,,,,,,
,ZÇ Roberto,,,Palmeiras,128,,,,,,,,,,,,,,,,,
21,Dani Alves,"1,065",2001?,Bahia,58,,,,,,,,,,,,,,,,,
,Dani Alves,,,Sevilla,250,,,,,,,,,,,,,,,,,
,Dani Alves,,,Barcelona,408,,,,,,,,,,,,,,,,,
,Dani Alves,,,Juventus,33,,,,,,,,,,,,,,,,,
,Dani Alves,,,Paris Saint-Germain,73,,,,,,,,,,,,,,,,,
,Dani Alves,,,S?o Paulo,95,,,,,,,,,,,,,,,,,
22,Rivaldo,"1,063+",1989?2015,Paulista,48+,,,,,,,,,,,,,,,,,
,Rivaldo,,,Santa Cruz,54,,,,,,,,,,,,,,,,,
,Rivaldo,,,Mogi Mirim,48,,,,,,,,,,,,,,,,,
,Rivaldo,,,Corinthians Paulista,58,,,,,,,,,,,,,,,,,
,Rivaldo,,,Palmeiras,120,,,,,,,,,,,,,,,,,
,Rivaldo,,,Deportivo La Coru§a,46,,,,,,,,,,,,,,,,,
,Rivaldo,,,Barcelona,235,,,,,,,,,,,,,,,,,
,Rivaldo,,,Milan AC,40,,,,,,,,,,,,,,,,,
,Rivaldo,,,Cruzeiro,10,,,,,,,,,,,,,,,,,
,Rivaldo,,,Olympiacos Piraeus,101,,,,,,,,,,,,,,,,,
,Rivaldo,,,AEK Athens,44,,,,,,,,,,,,,,,,,
,Rivaldo,,,Bunyodkor,80,,,,,,,,,,,,,,,,,
,Rivaldo,,,S?o Paulo,46,,,,,,,,,,,,,,,,,
,Rivaldo,,,Kabuscorp,21+,,,,,,,,,,,,,,,,,
,Rivaldo,,,S?o Caetano,19,,,,,,,,,,,,,,,,,
23,Alan Ball,"1,057+",1960?1983,Ashton United,7,,,,,,,,,,,,,,,,,
,Alan Ball,,,Blackpool,164,,,,,,,,,,,,,,,,,
,Alan Ball,,,Everton,254,,,,,,,,,,,,,,,,,
,Alan Ball,,,Arsenal,218,,,,,,,,,,,,,,,,,
,Alan Ball,,,Hellenic,4+,,,,,,,,,,,,,,,,,
,Alan Ball,,,Southampton,234,,,,,,,,,,,,,,,,,
,Alan Ball,,,Philadelphia Fury,33,,,,,,,,,,,,,,,,,
,Alan Ball,,,Vancouver Whitecaps,31,,,,,,,,,,,,,,,,,
,Alan Ball,,,Floreat Athena,3,,,,,,,,,,,,,,,,,
,Alan Ball,,,Eastern,12+,,,,,,,,,,,,,,,,,
